Model,Accuracy,Precision,Recall,ROC_AUC
Logistic Regression,0.8688524590163934,0.8571428571428571,0.9090909090909091,0.9101731601731602
Random Forest,0.7540983606557377,0.725,0.8787878787878788,0.9058441558441558
SVM (Linear),0.819672131147541,0.7894736842105263,0.9090909090909091,0.9047619047619048
Gradient Boosting,0.8032786885245902,0.8,0.8484848484848485,0.8841991341991342
KNN,0.7868852459016393,0.75,0.9090909090909091,0.8820346320346321
XGBoost,0.7868852459016393,0.7631578947368421,0.8787878787878788,0.8560606060606061
